CODICE_VIA;STATO;TIPO;DENOMINAZIONE;DATA_INTITOLAZIONE;ANNO_SOPPRESSIONE;DESCRITTIVO;ANNCSU;OPENSTREETMAP;PROGANNCSU;TOPONIMO_OSM;RATIO
1710;2;1;ARGANINI GEROLAMO;0;0;GEROLAMO ARGANINI;GEROLAMO ARGANINI;GEROLAMO ARGANINI;;Via Gerolamo Arganini;100
1711;2;1;CECCHI EMILIO;0;0;EMILIO CECCHI;EMILIO CECCHI;EMILIO CECCHI;;Via Emilio Cecchi;100
1712;2;1;SBARBARO CAMILLO;0;0;CAMILLO SBARBARO;CAMILLO SBARBARO;CAMILLO SBARBARO;;Via Camillo Sbarbaro;100
1713;2;1;MINUZIANO ALESSANDRO;0;0;ALESSANDRO MINUZIANO;ALESSANDRO MINUZIANO;ALESSANDRO MINUZIANO;;Via Alessandro Minuziano;100
1714;2;4;DE BENEDETTI ALDO;19920922;;ALDO DE BENEDETTI;ALDO DE BENEDETTI;ALDO DE BENEDETTI;;Largo Aldo De Benedetti;100
1715;2;1;COMBONI DANIELE;0;0;DANIELE COMBONI;DANIELE COMBONI;DANIELE COMBONI;;Via Daniele Comboni;100
1716;2;4;MISSIONARI COMBONIANI;19910503;;MISSIONARI COMBONIANI;MISSIONARI COMBONIANI;MISSIONARI COMBONIANI;;Largo Missionari Comboniani;100
1717;2;1;MORO ALDO;19931224;;ALDO MORO;ALDO MORO;ALDO MORO;;Via Aldo Moro;100
1718;2;10;BUSSA EUGENIO;19960323;;EUGENIO BUSSA;EUGENIO BUSSA;EUGENIO BUSSA;;Cavalcavia Eugenio Bussa;100
1719;2;5;MANZONI PIERO;19950712;;PIERO MANZONI;PIERO MANZONI;PIERO MANZONI;;;100
1720;2;1;RUVENZORI PAOLO;19960115;;PAOLO RUVENZORI;PAOLO RUVENZORI;RUVENZORI;;Via Ruvenzori;95
1721;2;1;TREMITI;19960611;;TREMITI;TREMITI;TREMITI;;Via Tremiti;100
1722;2;4;DIONIGI IN PRATOCENTENARIO (SAN);19950525;;SAN DIONIGI IN PRATOCENTENARO;SAN DIONIGI IN PRATOCENTENARO;SAN DIONIGI IN PRATOCENTENARO;;Largo San Dionigi in Pratocentenaro;100
1723;2;1;BISNATI ALESSANDRO;19970203;;ALESSANDRO BISNATI;ALESSANDRO BISNATI;ALESSANDRO BISNATI;;Via Alessandro Bisnati;100
1724;2;1;DA VELATE GUIDO;19970217;;GUIDO DA VELATE;GUIDO DA VELATE;GUIDO DA VELATE;;Via Guido da Velate;100
1725;2;1;POZZOBONELLI GIUSEPPE;19970210;;GIUSEPPE POZZOBONELLI;GIUSEPPE POZZOBONELLI;GIUSEPPE POZZOBONELLI;;Via Giuseppe Pozzobonelli;100
1726;2;3;ALFIERI EMILIO;19970630;;EMILIO ALFIERI;EMILIO ALFIERI;EMILIO ALFIERI;;Piazza Emilio Alfieri;100
1727;2;2;PIRELLI PIERO E ALBERTO;19971009;;PIERO E ALBERTO PIRELLI;PIERO E ALBERTO PIRELLI;PIERO E ALBERTO PIRELLI;;Viale Piero e Alberto Pirelli;100
1728;2;1;BICOCCA DEGLI ARCIMBOLDI;19971009;;BICOCCA DEGLI ARCIMBOLDI;BICOCCA DEGLI ARCIMBOLDI;BICOCCA DEGLI ARCIMBOLDI;;Via Bicocca degli Arcimboldi;100
1729;2;1;FINANZIERI D'ITALIA;19971229;;FINANZIERI D'ITALIA;FINANZIERI D'ITALIA;FINANZIERI D'ITALIA;;Via Finanzieri d'Italia;100
1730;2;4;MARTIRI DELLE FOIBE;19980417;;MARTIRI DELLE FOIBE;MARTIRI DELLE FOIBE;MARTIRI DELLE FOIBE;;Largo Martiri delle Foibe;100
1731;2;2;INNOVAZIONE (DELL');19980929;;DELL'INNOVAZIONE;DELL'INNOVAZIONE;DELL'INNOVAZIONE;;Viale dell'Innovazione;100
1732;2;1;TEMOLO LIBERO;19981008;;LIBERO TEMOLO;LIBERO TEMOLO;LIBERO TEMOLO;;Via Libero Temolo;100
1733;2;1;SEGNANINO;19981008;;SEGNANINO;SEGNANINO;SEGNANINO;;Via Segnanino;100
1734;2;1;POLVANI GIOVANNI;19981008;;GIOVANNI POLVANI;GIOVANNI POLVANI;GIOVANNI POLVANI;;Via Giovanni Polvani;100
1735;2;1;CALDIROLA PIERO;19981008;;PIERO CALDIROLA;PIERO CALDIROLA;PIERO CALDIROLA;;Via Piero Caldirola;100
1737;2;3;DAINI (DEI);19990126;;DEI DAINI;DEI DAINI;DEI DAINI;;Piazza dei Daini;100
1738;2;1;STELLA BIANCA;20000427;;STELLA BIANCA;STELLA BIANCA;STELLA BIANCA;;Via Stella Bianca;100
1739;2;1;FUBINI MARIO;19990226;;MARIO FUBINI;MARIO FUBINI;MARIO FUBINI;;Via Mario Fubini;100
1740;2;3;ATENEO NUOVO (DELL');19990409;;DELL'ATENEO NUOVO;DELL'ATENEO NUOVO;DELL'ATENEO NUOVO;;;100
1741;2;1;GRISI GIUDITTA E GIULIA;19980723;;GIUDITTA E GIULIA GRISI;GIUDITTA E GIULIA GRISI;GIUDITTA E GIULIA GRISI;;Via Giuditta e Giulia Grisi;100
1742;2;1;STREPPONI GIUSEPPINA;19980728;;GIUSEPPINA STREPPONI;GIUSEPPINA STREPPONI;GIUSEPPINA STREPPONI;;Via Giuseppina Strepponi;100
1743;2;1;GRASSINI GIUSEPPINA;19980717;;GIUSEPPINA GRASSINI;GIUSEPPINA GRASSINI;GIUSEPPINA GRASSINI;;Via Giuseppina Grassini;100
1744;2;1;BALDACCI GAETANO;19981229;;GAETANO BALDACCI;GAETANO BALDACCI;GAETANO BALDACCI;;Via Gaetano Baldacci;100
1745;2;1;POLLINI GINO;19990222;;GINO POLLINI;GINO POLLINI;GINO POLLINI;;Via Gino Pollini;100
1746;2;1;MAJORANA ETTORE;20090806;0;ETTORE MAJORANA;ETTORE MAJORANA;ETTORE MAJORANA;;Via Ettore Majorana;100
1753;2;3;SCIENZA (DELLA);19990702;;DELLA SCIENZA;DELLA SCIENZA;DELLA SCIENZA;;;100
1754;2;1;BORSA EMILIO;20020603;0;EMILIO BORSA;EMILIO BORSA;EMILIO BORSA;;Via Emilio Borsa;100
1755;2;1;GIUFFRE' ANTONINO;20001024;;ANTONINO GIUFFRE';ANTONINO GIUFFRE';ANTONINO GIUFFR?;;Via Antonino Giuffrè;97
1756;2;1;VILLANI DINO;20020306;;DINO VILLANI;DINO VILLANI;DINO VILLANI;;Via Dino Villani;100
1757;2;1;BECCALLI LUIGI;20000520;0;LUIGI BECCALI;LUIGI BECCALI;LUIGI BECCALI;;Via Luigi Beccali;100
1758;2;4;ABBAGNANO NICOLA;20001120;0;NICOLA ABBAGNANO;NICOLA ABBAGNANO;NICOLA ABBAGNANO;;Largo Nicola Abbagnano;100
1759;2;1;BOSCHI - DI STEFANO;20011113;;ANTONIO BOSCHI E MARIEDA DI STEFANO;ANTONIO BOSCHI E MARIEDA DI STEFANO;BOSCHI DI STEFANO;;Via Boschi - Di Stefano;85
1760;2;1;FIGINI LUIGI;20011114;0;LUIGI FIGINI;LUIGI FIGINI;LUIGI FIGINI;;Via Luigi Figini;100
1761;2;1;VENOSTA GUIDO;20030925;0;GUIDO VENOSTA;GUIDO VENOSTA;GUIDO VENOSTA;;Via Guido Venosta;100
1762;2;3;CALENDARIO (DEL);20040525;;DEL CALENDARIO;DEL CALENDARIO;DEL CALENDARIO;;;100
1763;2;1;VIZZOLA;20051128;;VIZZOLA;VIZZOLA;VIZZOLA;;Via Vizzola;100
1764;2;3;KAISSERLIAN GIORGIO;20041203;0;GIORGIO KAISSERLIAN;GIORGIO KAISSERLIAN; ;;;100
1765;2;3;TRIVULZIANA (DELLA);20061220;;DELLA TRIVULZIANA;DELLA TRIVULZIANA;DELLA TRIVULZIANA;;;100
1766;2;1;SOGNO EDGARDO;20070627;0;EDGARDO SOGNO;EDGARDO SOGNO;EDGARDO SOGNO;;Via Edgardo Sogno;100
1767;2;21;DIFESA PER LE DONNE;20110308;0;DIFESA PER LE DONNE;DIFESA PER LE DONNE;DIFESA PER LE DONNE;;;100
1768;2;1;HAYEK VON FRIEDRICH;20110331;0;FRIEDRICH VON HAYEK;FRIEDRICH VON HAYEK;FRIEDRICH VON HAYEK;;Via Friedrich von Hayek;100
1770;2;20;FAVOLE (DELLE);20031005;;DELLE FAVOLE;DELLE FAVOLE;DELLE FAVOLE;;;100
1771;2;27;GALEOTTI BIANCHI GINA;20051119;0;GINA GALEOTTI BIANCHI;GINA GALEOTTI BIANCHI; ;;;100
1772;2;3;DE BIASIO DON BRUNO;20060326;0;DON BRUNO DE BIASIO;DON BRUNO DE BIASIO;DON BRUNO DE BIASIO;;Piazza Don Bruno de Biasio;100
1773;2;18;MENDEL GREGOR;20060503;0;GREGOR MENDEL;GREGOR MENDEL; ;;;100
1774;2;1;BRAMIERI GINO;20060328;0;GINO BRAMIERI;GINO BRAMIERI;GINO BRAMIERI;;Via Gino Bramieri;100
1775;2;27;MUNARI BRUNO;20071024;0;BRUNO MUNARI;BRUNO MUNARI;BRUNO MUNARI;;;100
1776;2;27;OSIRIS WANDA;20080505;0;WANDA OSIRIS;WANDA OSIRIS;WANDA OSIRIS;;;100
